Tue Jan 19 03:33:03:838 |    3895 | TEST_PIDS:
Tue Jan 19 03:33:03:838 |    3895 | 	Missing process: syslog-ng(1588).
Tue Jan 19 03:33:03:838 |    3895 | 	Re-check (1 / 30) process: syslog-ng.
Tue Jan 19 03:33:04:842 |    3895 | 	Re-check process sucessfull: 4686 (syslog-ng) S 1 4685 4685 0 -1 4194368 75 0 0 0 0 0 0 0 20 0 1 0 123463656 7233536 490 18446744073709551615 4194304 4203684 281474062023520 0 0 0 0 1 0 1 0 0 17 2 0 0 0 0 0 4271560 4273040 1011716096 281474062024519 281474062024539 281474062024539 281474062024676 0
Tue Jan 19 03:33:04:842 |    3895 | TEST_PIDS:
Tue Jan 19 03:33:04:842 |    3895 | 	Missing process: syslog-ng(1587).
Tue Jan 19 03:33:04:842 |    3895 | 	Re-check (1 / 30) process: syslog-ng.
Tue Jan 19 03:33:05:846 |    3895 | 	Re-check process sucessfull: 4687 (syslog-ng) S 4686 4687 4687 0 -1 4194624 886 0 0 0 1 0 0 0 20 0 2 0 123463656 84660224 1583 18446744073709551615 4194304 4203684 281474062023520 0 0 0 0 4198400 90627 0 0 0 17 1 0 0 0 0 0 4271560 4273040 1011716096 281474062024519 281474062024539 281474062024539 281474062024676 0
Fri Jan 22 03:33:02:848 |    3895 | TEST_PIDS:
Fri Jan 22 03:33:02:848 |    3895 | 	Missing process: syslog-ng(4686).
Fri Jan 22 03:33:02:848 |    3895 | 	Re-check (1 / 30) process: syslog-ng.
Fri Jan 22 03:33:03:852 |    3895 | 	Re-check process sucessfull: 23283 (syslog-ng) S 23255 23255 23255 0 -1 4194304 461 708 0 0 1 0 0 0 20 0 1 0 149383343 3489792 653 18446744073709551615 4194304 5079548 281473944523136 0 0 0 65536 4 65538 1 0 0 17 2 0 0 0 0 0 5148120 5183100 268754944 281473944526614 281473944526652 281473944526652 281473944526818 0
Fri Jan 22 03:33:03:853 |    3895 | TEST_PIDS:
Fri Jan 22 03:33:03:853 |    3895 | 	Missing process: syslog-ng(4687).
Fri Jan 22 03:33:03:853 |    3895 | 	Re-check (1 / 30) process: syslog-ng.
Fri Jan 22 03:33:04:857 |    3895 | 	Re-check process sucessfull: 23306 (syslog-ng) S 1 23305 23305 0 -1 4194368 74 0 0 0 0 0 0 0 20 0 1 0 149383645 7233536 487 18446744073709551615 4194304 4203684 281474891376400 0 0 0 0 1 0 1 0 0 17 0 0 0 0 0 0 4271560 4273040 864849920 281474891378503 281474891378523 281474891378523 281474891378660 0
Fri Jan 22 03:33:07:858 |    3895 | TEST_PIDS:
Fri Jan 22 03:33:07:858 |    3895 | 	Missing process: syslog-ng(23283).
Fri Jan 22 03:33:07:858 |    3895 | 	Re-check (1 / 30) process: syslog-ng.
Fri Jan 22 03:33:08:862 |    3895 | 	Re-check process sucessfull: 23307 (syslog-ng) S 23306 23307 23307 0 -1 4194624 888 0 0 0 2 0 0 0 20 0 2 0 149383645 84660224 1611 18446744073709551615 4194304 4203684 281474891376400 0 0 0 0 4198400 90627 0 0 0 17 2 0 0 0 0 0 4271560 4273040 864849920 281474891378503 281474891378523 281474891378523 281474891378660 0
Fri Jan 22 20:54:56:586 |   17030 | SYSUP OK ipcs attached pid=17030
Fri Jan 22 20:54:56:586 |    3895 | SYSUP OK sysupSgnHnd - got signal=12
Fri Jan 22 20:54:56:586 |    3895 | SYSUP OK sysupSgnHnd - ext trigger has been received
Fri Jan 22 20:54:56:587 |    3895 | ACTION REQUESTED: Filter:FILTER_BOOT Decision:DECISION_BOOT Action:ACTION_STBY 
*********************** | ******* | TESTS RESULTS:
*********************** | ******* | Filter: FILTER_BOOT
*********************** | ******* | Test: REBOOT_REQ
*********************** | ******* | 0 RebootReqReason =EXTERNAL REBOOT REQUEST, RebootReqDelay=0
*********************** | ******* | ACTION PARAMS:Reason=EXTERNAL REBOOT REQUEST: NOT an ERROR condition!
Fri Jan 22 20:54:56:587 |    3895 | SYSUP OK sysupActionBase - Max. 120 secs for action to complete!!!
Fri Jan 22 20:54:56:594 |    3895 | ACTION REQUESTED: Filter:FILTER_BOOT Decision:DECISION_BOOT Action:ACTION_BASE 
*********************** | ******* | ACTION PARAMS:Reason=EXTERNAL REBOOT REQUEST: NOT an ERROR condition!
Fri Jan 22 20:54:56:594 |    3895 | SYSUP OK sysupActionBase - Max. 120 secs for action to complete!!!
Fri Jan 22 20:54:56:616 |    3895 | ACTION REQUESTED: Filter:FILTER_BOOT Decision:DECISION_BOOT Action:ACTION_REBOOT 
*********************** | ******* | ACTION PARAMS:Delay=0
Fri Jan 22 20:54:57:650 |    3895 | SYSUP OK sysupActionReboot - Max. 300 secs for clean reboot to complete!!!
Fri Jan 22 20:54:57:978 |    3739 | SYSUP OK sysupSgnHnd - got signal=15
Fri Jan 22 20:54:57:978 |    3739 | SYSUP OK sysupSgnHnd - Reboot pending!!!
Fri Jan 22 20:54:57:978 |    3895 | SYSUP OK sysupSgnHnd - got signal=15
Fri Jan 22 20:54:57:981 |    3895 | SYSUP OK sysupRebootPending - reboot pending!!!
Fri Jan 22 20:54:57:981 |    3895 | SYSUP OK sysupRebootPending - Max. 300 secs for reboot to complete!!!
Fri Jan 22 20:55:11:478 |    3739 | SYSUP OK sysupSgnHnd - got signal=17
Fri Jan 22 20:55:11:478 |    3895 | SYSUP OK sysupSgnHnd - got signal=15
Fri Jan 22 20:55:11:481 |    3895 | SYSUP OK sysupRebootPending - reboot pending!!!
Fri Jan 22 20:55:11:481 |    3895 | SYSUP OK sysupRebootPending - Max. 300 secs for reboot to complete!!!
Fri Jan 22 20:56:13:702 |    3298 | SYSUP OK **** sysupHaSysup started ****
Fri Jan 22 20:56:20:464 |    3298 | SYSUP OK start sysupMainLoop
Fri Jan 22 20:56:20:481 |    3463 | 
*********************** | ******* | !!! NEW START !!!
*********************** | ******* | *********************** | ******* | 
Fri Jan 22 20:56:20:481 |    3463 | SYSUP OK sysup main loop started
Fri Jan 22 20:56:20:485 |    3463 | SYSUP OK MLoopCntrOption is set to ActiveNoAction
Fri Jan 22 20:56:20:485 |    3463 | SYSUP OK ipcs created
Fri Jan 22 20:56:20:485 |    3463 | NO SYSUP INTERNAL CFG FILE
Fri Jan 22 20:56:20:485 |    3463 | SYSUP CONFIGURATION:
